traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
LANE USE MARKING,RAIN,DAYLIGHT,FIXED OBJECT,PARKING LOT,STRAIGHT ON HILLCREST,DIRT,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,1,"REPORTED, NOT EVIDENT",16,0,0,14,0,15,2,7,4
OTHER WARNING SIGN,UNKNOWN,DAYLIGHT,PEDALCYCLIST,ONE-WAY,CURVE ON GRADE,DRY,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,11,NONINCAPACITATING INJURY,12,3,7,18,4,18,6,3,4
RR CROSSING SIGN,BLOWING SAND,DAYLIGHT,REAR END,FOUR WAY,LEVEL,ICE,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",ROAD CONSTRUCTION/MAINTENANCE,9,FATAL,17,0,3,16,4,45,14,1,11
PEDESTRIAN CROSSING SIGN,BLOWING SAND,UNKNOWN,HEAD ON,FOUR WAY,CURVE,SNOW OR SLUSH,OTHER,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",CELL PHONE USE OTHER THAN TEXTING,4,FATAL,12,0,6,5,2,39,22,1,10
DELINEATORS,RAIN,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,LEVEL,DIRT,OTHER,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,EQUIPMENT - VEHICLE CONDITION,11,"REPORTED, NOT EVIDENT",9,2,0,13,0,35,12,4,2
OTHER RAILROAD CROSSING,BLOWING SNOW,DUSK,TRAIN,FOUR WAY,CURVE,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",10,INCAPACITATING INJURY,18,3,1,5,1,26,18,4,8
YIELD,CLOUDY/OVERCAST,LIGHTED ROAD,PEDALCYCLIST,CENTER TURN LANE,STRAIGHT ON HILLCREST,ICE,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,TEXTING,2,FATAL,3,0,2,18,3,23,11,3,9
OTHER RAILROAD CROSSING,SNOW,DUSK,PARKED MOTOR VEHICLE,Y-INTERSECTION,STRAIGHT ON GRADE,SAND,OTHER,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",IMPROPER LANE USAGE,3,NO INDICATION OF INJURY,12,0,4,2,2,27,21,3,9
NO CONTROLS,SNOW,DARKNESS,OTHER OBJECT,"FIVE POINT, OR MORE",CURVE ON HILLCREST,WET,RUT,NO INJURY / DRIVE AWAY,N,"OVER $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",5,NO INDICATION OF INJURY,5,3,7,0,10,21,19,7,1
OTHER REG. SIGN,SNOW,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,SNOW OR SLUSH,OTHER,NO INJURY / DRIVE AWAY,N,"OVER $1,500",TURNING RIGHT ON RED,11,FATAL,4,3,7,3,7,12,11,7,8
RR CROSSING SIGN,SLEET/HAIL,DUSK,PEDESTRIAN,ONE-WAY,CURVE ON GRADE,WET,HOLES,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",TEXTING,11,NO INDICATION OF INJURY,1,0,7,8,3,24,2,7,1
POLICE/FLAGMAN,SEVERE CROSS WIND GATE,DUSK,SIDESWIPE SAME DIRECTION,TRAFFIC ROUTE,LEVEL,MUD,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",PHYSICAL CONDITION OF DRIVER,4,FATAL,13,0,0,18,4,6,16,1,3
OTHER RAILROAD CROSSING,SEVERE CROSS WIND GATE,DAWN,OVERTURNED,DRIVEWAY,CURVE ON GRADE,MUD,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",ROAD CONSTRUCTION/MAINTENANCE,2,FATAL,16,3,0,21,11,10,1,6,6
YIELD,RAIN,DARKNESS,REAR TO SIDE,"FIVE POINT, OR MORE",LEVEL,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",10,"REPORTED, NOT EVIDENT",12,2,4,9,2,7,14,2,1
OTHER RAILROAD CROSSING,RAIN,DAWN,REAR TO FRONT,OTHER,STRAIGHT ON HILLCREST,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,IMPROPER BACKING,5,"REPORTED, NOT EVIDENT",3,3,3,21,4,15,16,7,9
RR CROSSING SIGN,BLOWING SNOW,LIGHTED ROAD,OVERTURNED,DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,OTHER,NO DEFECTS,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING STOP SIGN,4,NO INDICATION OF INJURY,7,2,0,4,1,49,10,3,10
TRAFFIC SIGNAL,SNOW,UNKNOWN,TURNING,UNKNOWN INTERSECTION TYPE,LEVEL,UNKNOWN,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,OBSTRUCTED CROSSWALKS,6,NO INDICATION OF INJURY,14,3,4,21,1,8,16,1,10
BICYCLE CROSSING SIGN,SNOW,LIGHTED ROAD,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),LEVEL,ICE,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",ANIMAL,2,FATAL,11,0,5,10,6,7,12,7,12
RAILROAD CROSSING GATE,CLOUDY/OVERCAST,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,ROUN,CURVE ON GRADE,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500","VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1,NONINCAPACITATING INJURY,13,3,1,21,13,37,18,7,9
BICYCLE CROSSING SIGN,BLOWING SNOW,DAWN,HEAD ON,ALLEY,LEVEL,MUD,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,6,FATAL,14,1,3,13,13,26,6,2,4
PEDESTRIAN CROSSING SIGN,CLOUDY/OVERCAST,DAYLIGHT,REAR END,Y-INTERSECTION,STRAIGHT ON HILLCREST,SAND,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,1,NONINCAPACITATING INJURY,10,3,0,8,11,21,9,4,11
NO PASSING,CLOUDY/OVERCAST,DAWN,REAR TO SIDE,T-INTERSECTION,CURVE ON GRADE,DIRT,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",UNABLE TO DETERMINE,9,"REPORTED, NOT EVIDENT",3,1,6,12,14,2,12,2,6
OTHER RAILROAD CROSSING,OTHER,LIGHTED ROAD,TURNING,OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISREGARDING OTHER TRAFFIC SIGNS,7,NO INDICATION OF INJURY,2,3,2,14,12,4,18,3,9
OTHER WARNING SIGN,SLEET/HAIL,LIGHTED ROAD,FIXED OBJECT,NOT DIVIDED,CURVE,SAND,OTHER,NO INJURY / DRIVE AWAY,N,"OVER $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,5,NONINCAPACITATING INJURY,14,2,2,14,4,24,4,6,6
RR CROSSING SIGN,CLOUDY/OVERCAST,DARKNESS,REAR END,"FIVE POINT, OR MORE",STRAIGHT ON HILLCREST,SNOW OR SLUSH,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",10,NONINCAPACITATING INJURY,4,0,7,0,4,39,14,4,12
RAILROAD CROSSING GATE,CLOUDY/OVERCAST,DAYLIGHT,REAR END,UNKNOWN,CURVE,DIRT,HOLES,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING YIELD SIGN,11,FATAL,16,1,5,9,13,39,2,1,8
OTHER,FREEZING RAIN/DRIZZLE,UNKNOWN,PARKED MOTOR VEHICLE,T-INTERSECTION,STRAIGHT ON HILLCREST,SAND,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",IMPROPER TURNING/NO SIGNAL,6,INCAPACITATING INJURY,13,0,2,5,2,44,22,6,5
LANE USE MARKING,SEVERE CROSS WIND GATE,DARKNESS,OTHER NONCOLLISION,"FIVE POINT, OR MORE",CURVE ON GRADE,WET,HOLES,NO INJURY / DRIVE AWAY,N,$500 OR LESS,FAILING TO REDUCE SPEED TO AVOID CRASH,4,FATAL,6,1,6,8,15,35,16,4,6
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,UNKNOWN,STRAIGHT ON GRADE,DRY,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",WEATHER,1,NONINCAPACITATING INJURY,4,1,4,12,13,1,20,6,3
POLICE/FLAGMAN,SLEET/HAIL,LIGHTED ROAD,REAR TO FRONT,TRAFFIC ROUTE,CURVE ON HILLCREST,WET,UNKNOWN,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,7,FATAL,2,2,0,5,0,13,15,4,7
OTHER,FREEZING RAIN/DRIZZLE,DAWN,TRAIN,DIVIDED - W/MEDIAN BARRIER,LEVEL,DIRT,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING YIELD SIGN,11,FATAL,18,1,5,1,8,36,11,7,1
OTHER,CLEAR,DUSK,TRAIN,ALLEY,STRAIGHT ON GRADE,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",ROAD CONSTRUCTION/MAINTENANCE,7,INCAPACITATING INJURY,19,1,1,7,12,20,20,2,2
OTHER REG. SIGN,BLOWING SAND,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,"FIVE POINT, OR MORE",STRAIGHT AND LEVEL,DIRT,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,EXCEEDING AUTHORIZED SPEED LIMIT,6,"REPORTED, NOT EVIDENT",11,2,2,10,5,47,21,7,3
FLASHING CONTROL SIGNAL,SOIL,UNKNOWN,HEAD ON,TRAFFIC ROUTE,STRAIGHT AND LEVEL,OTHER,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,$500 OR LESS,IMPROPER BACKING,4,NO INDICATION OF INJURY,9,2,4,15,7,2,17,2,12
STOP SIGN/FLASHER,SNOW,DARKNESS,REAR END,ROUN,STRAIGHT AND LEVEL,DIRT,RUT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3,NO INDICATION OF INJURY,14,1,6,9,4,4,9,6,7
RAILROAD CROSSING GATE,SLEET/HAIL,DAWN,PEDALCYCLIST,FOUR WAY,STRAIGHT ON GRADE,SNOW OR SLUSH,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,FOLLOWING TOO CLOSELY,2,"REPORTED, NOT EVIDENT",3,2,2,14,13,34,19,2,1
TRAFFIC SIGNAL,CLEAR,DAWN,ANIMAL,ONE-WAY,CURVE,SAND,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",BICYCLE ADVANCING LEGALLY ON RED LIGHT,1,"REPORTED, NOT EVIDENT",13,2,5,3,13,46,11,3,5
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FIXED OBJECT,OTHER,STRAIGHT AND LEVEL,SNOW OR SLUSH,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",7,"REPORTED, NOT EVIDENT",12,0,7,8,6,5,20,5,8
LANE USE MARKING,SEVERE CROSS WIND GATE,DAWN,PEDESTRIAN,PARKING LOT,STRAIGHT ON GRADE,DIRT,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,8,"REPORTED, NOT EVIDENT",1,2,6,11,11,47,11,3,3
OTHER WARNING SIGN,SLEET/HAIL,LIGHTED ROAD,HEAD ON,ALLEY,STRAIGHT ON HILLCREST,SNOW OR SLUSH,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"$501 - $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",9,INCAPACITATING INJURY,18,3,7,17,1,14,16,1,2
TRAFFIC SIGNAL,BLOWING SAND,DAYLIGHT,TURNING,NOT DIVIDED,STRAIGHT AND LEVEL,ICE,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISTRACTION - FROM OUTSIDE VEHICLE,11,"REPORTED, NOT EVIDENT",17,3,3,14,15,39,4,6,5
BICYCLE CROSSING SIGN,SLEET/HAIL,UNKNOWN,TURNING,T-INTERSECTION,CURVE ON HILLCREST,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISREGARDING TRAFFIC SIGNALS,6,NO INDICATION OF INJURY,14,0,1,9,3,30,7,2,2
OTHER WARNING SIGN,FREEZING RAIN/DRIZZLE,DUSK,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),CURVE,SNOW OR SLUSH,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,7,NO INDICATION OF INJURY,5,3,3,14,4,34,16,6,4
NO CONTROLS,BLOWING SAND,DARKNESS,REAR TO REAR,ROUN,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",IMPROPER LANE USAGE,1,INCAPACITATING INJURY,9,3,6,7,0,35,19,4,12
SCHOOL ZONE,DIRT,DAWN,FIXED OBJECT,FOUR WAY,CURVE ON HILLCREST,OTHER,OTHER,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,IMPROPER OVERTAKING/PASSING,11,INCAPACITATING INJURY,9,2,4,2,13,3,1,5,7
RAILROAD CROSSING GATE,CLOUDY/OVERCAST,DARKNESS,PEDESTRIAN,ALLEY,CURVE ON HILLCREST,WET,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",DISREGARDING YIELD SIGN,9,FATAL,14,2,4,21,3,28,18,2,2
RR CROSSING SIGN,BLOWING SNOW,DARKNESS,PEDALCYCLIST,PARKING LOT,CURVE ON HILLCREST,SAND,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",NOT APPLICABLE,11,FATAL,14,2,5,2,6,33,16,1,5
LANE USE MARKING,DIRT,DAWN,REAR TO FRONT,DIVIDED - W/MEDIAN BARRIER,CURVE ON HILLCREST,SAND,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",ROAD CONSTRUCTION/MAINTENANCE,4,FATAL,11,2,0,8,0,7,2,3,11
UNKNOWN,UNKNOWN,DAYLIGHT,TRAIN,RAMP,CURVE ON HILLCREST,DIRT,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,6,NONINCAPACITATING INJURY,10,2,5,17,7,29,22,4,3
STOP SIGN/FLASHER,DIRT,LIGHTED ROAD,REAR END,RAMP,CURVE ON HILLCREST,UNKNOWN,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,3,"REPORTED, NOT EVIDENT",11,0,5,21,4,2,8,5,12
NO PASSING,SOIL,DAWN,SIDESWIPE SAME DIRECTION,RAMP,STRAIGHT ON GRADE,ICE,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",IMPROPER LANE USAGE,9,FATAL,8,0,1,19,15,25,7,3,12
OTHER,RAIN,DAWN,OVERTURNED,CENTER TURN LANE,LEVEL,SNOW OR SLUSH,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,5,FATAL,18,2,2,13,1,46,2,2,6
UNKNOWN,CLEAR,UNKNOWN,TRAIN,RAMP,CURVE ON GRADE,MUD,DEBRIS ON ROADWAY,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",EXCEEDING AUTHORIZED SPEED LIMIT,6,INCAPACITATING INJURY,15,0,4,16,12,44,1,7,12
UNKNOWN,UNKNOWN,DUSK,OTHER OBJECT,DRIVEWAY,CURVE,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",FOLLOWING TOO CLOSELY,8,NO INDICATION OF INJURY,10,1,4,13,6,29,0,3,11
OTHER WARNING SIGN,FOG/SMOKE/HAZE,LIGHTED ROAD,REAR TO SIDE,PARKING LOT,STRAIGHT ON HILLCREST,DRY,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,ROAD ENGINEERING/SURFACE/MARKING DEFECTS,2,FATAL,16,3,7,9,4,27,10,7,9
LANE USE MARKING,FOG/SMOKE/HAZE,UNKNOWN,PEDALCYCLIST,ALLEY,STRAIGHT ON GRADE,SNOW OR SLUSH,HOLES,NO INJURY / DRIVE AWAY,N,"OVER $1,500",IMPROPER LANE USAGE,4,NO INDICATION OF INJURY,3,2,1,2,5,8,15,1,5
BICYCLE CROSSING SIGN,SOIL,DUSK,OTHER OBJECT,RAMP,CURVE ON GRADE,WET,DEBRIS ON ROADWAY,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISREGARDING ROAD MARKINGS,1,FATAL,18,2,4,0,9,42,3,6,5
OTHER,FREEZING RAIN/DRIZZLE,DARKNESS,ANIMAL,UNKNOWN,CURVE,ICE,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,"DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",4,NO INDICATION OF INJURY,15,2,7,6,5,2,1,5,1
LANE USE MARKING,SLEET/HAIL,DUSK,OTHER NONCOLLISION,Y-INTERSECTION,CURVE ON HILLCREST,OTHER,WORN SURFACE,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,"EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",2,NONINCAPACITATING INJURY,4,2,1,3,2,29,15,3,5
DELINEATORS,BLOWING SNOW,UNKNOWN,HEAD ON,PARKING LOT,CURVE,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",PASSING STOPPED SCHOOL BUS,8,NONINCAPACITATING INJURY,5,0,2,11,14,13,22,7,8
OTHER RAILROAD CROSSING,SNOW,LIGHTED ROAD,ANGLE,PARKING LOT,CURVE ON HILLCREST,SNOW OR SLUSH,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",1,FATAL,5,2,3,1,14,24,14,7,10
OTHER,CLOUDY/OVERCAST,LIGHTED ROAD,TURNING,DRIVEWAY,CURVE ON HILLCREST,DRY,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,IMPROPER TURNING/NO SIGNAL,8,NO INDICATION OF INJURY,1,2,0,19,8,43,8,6,4
OTHER,CLEAR,UNKNOWN,REAR TO REAR,OTHER,LEVEL,WET,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,FAILING TO REDUCE SPEED TO AVOID CRASH,6,"REPORTED, NOT EVIDENT",0,0,7,11,6,18,3,2,6
FLASHING CONTROL SIGNAL,OTHER,DUSK,PEDALCYCLIST,OTHER,STRAIGHT ON HILLCREST,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",DISREGARDING STOP SIGN,10,NO INDICATION OF INJURY,15,2,2,3,11,9,8,4,11
FLASHING CONTROL SIGNAL,OTHER,DUSK,REAR TO SIDE,UNKNOWN INTERSECTION TYPE,STRAIGHT ON HILLCREST,MUD,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"OVER $1,500","DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",7,NO INDICATION OF INJURY,7,3,7,10,12,10,3,7,1
PEDESTRIAN CROSSING SIGN,RAIN,DARKNESS,SIDESWIPE OPPOSITE DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON HILLCREST,WET,UNKNOWN,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",NOT APPLICABLE,1,"REPORTED, NOT EVIDENT",7,3,3,14,0,27,17,4,5
NO PASSING,FOG/SMOKE/HAZE,DAYLIGHT,REAR TO FRONT,TRAFFIC ROUTE,LEVEL,DIRT,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",UNABLE TO DETERMINE,11,"REPORTED, NOT EVIDENT",8,0,4,9,11,20,4,5,1
PEDESTRIAN CROSSING SIGN,UNKNOWN,DAWN,OVERTURNED,Y-INTERSECTION,CURVE ON GRADE,MUD,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",IMPROPER BACKING,9,INCAPACITATING INJURY,12,2,1,11,4,16,10,3,5
LANE USE MARKING,OTHER,DAYLIGHT,SIDESWIPE OPPOSITE DIRECTION,RAMP,STRAIGHT ON HILLCREST,MUD,RUT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",DISREGARDING STOP SIGN,1,INCAPACITATING INJURY,19,2,6,5,11,33,17,6,7
DELINEATORS,RAIN,DUSK,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,STRAIGHT ON HILLCREST,UNKNOWN,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,N,$500 OR LESS,PASSING STOPPED SCHOOL BUS,2,FATAL,2,1,2,19,14,23,9,3,3
OTHER REG. SIGN,FOG/SMOKE/HAZE,DARKNESS,HEAD ON,DIVIDED - W/MEDIAN BARRIER,STRAIGHT AND LEVEL,ICE,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,2,NO INDICATION OF INJURY,14,0,3,16,10,8,13,2,12
SCHOOL ZONE,BLOWING SNOW,DAWN,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),STRAIGHT ON GRADE,SAND,NO DEFECTS,NO INJURY / DRIVE AWAY,N,$500 OR LESS,DISTRACTION - FROM INSIDE VEHICLE,8,"REPORTED, NOT EVIDENT",14,0,3,4,0,7,23,3,8
OTHER REG. SIGN,SOIL,DUSK,OTHER NONCOLLISION,ROUN,STRAIGHT ON GRADE,ICE,WORN SURFACE,NO INJURY / DRIVE AWAY,N,"OVER $1,500",IMPROPER OVERTAKING/PASSING,5,FATAL,16,2,3,14,15,32,20,4,8
POLICE/FLAGMAN,SNOW,LIGHTED ROAD,TRAIN,TRAFFIC ROUTE,LEVEL,DIRT,UNKNOWN,NO INJURY / DRIVE AWAY,N,"OVER $1,500",RELATED TO BUS STOP,10,"REPORTED, NOT EVIDENT",9,2,1,20,3,1,17,6,5
UNKNOWN,CLOUDY/OVERCAST,DUSK,PEDESTRIAN,UNKNOWN,CURVE ON GRADE,WET,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,N,"$501 - $1,500",EXCEEDING SAFE SPEED FOR CONDITIONS,6,"REPORTED, NOT EVIDENT",8,1,5,2,14,6,17,5,11
OTHER WARNING SIGN,FREEZING RAIN/DRIZZLE,UNKNOWN,OTHER OBJECT,"FIVE POINT, OR MORE",CURVE ON GRADE,DIRT,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",NOT APPLICABLE,2,NONINCAPACITATING INJURY,10,2,4,21,0,9,10,1,1
RR CROSSING SIGN,CLOUDY/OVERCAST,DAYLIGHT,ANGLE,ONE-WAY,CURVE ON HILLCREST,SAND,RUT,NO INJURY / DRIVE AWAY,N,"OVER $1,500",FOLLOWING TOO CLOSELY,7,INCAPACITATING INJURY,12,0,3,8,8,20,7,5,2
PEDESTRIAN CROSSING SIGN,BLOWING SNOW,UNKNOWN,REAR TO REAR,"FIVE POINT, OR MORE",CURVE ON GRADE,DRY,SHOULDER DEFECT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,DISREGARDING STOP SIGN,1,FATAL,15,2,1,15,7,43,21,4,12
NO PASSING,CLEAR,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,SNOW OR SLUSH,HOLES,NO INJURY / DRIVE AWAY,Y,$500 OR LESS,BICYCLE ADVANCING LEGALLY ON RED LIGHT,5,"REPORTED, NOT EVIDENT",6,0,5,12,14,44,8,3,3
RR CROSSING SIGN,BLOWING SNOW,DAYLIGHT,REAR TO SIDE,ROUN,STRAIGHT ON HILLCREST,ICE,SHOULDER DEFECT,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",ROAD CONSTRUCTION/MAINTENANCE,1,NO INDICATION OF INJURY,7,3,3,21,3,16,20,4,3
SCHOOL ZONE,SOIL,UNKNOWN,TURNING,UNKNOWN,LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,"$501 - $1,500",DISREGARDING YIELD SIGN,1,NONINCAPACITATING INJURY,7,2,4,1,2,30,3,7,4
OTHER WARNING SIGN,SEVERE CROSS WIND GATE,DARKNESS,REAR TO SIDE,"FIVE POINT, OR MORE",CURVE,UNKNOWN,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,N,"$501 - $1,500",DISTRACTION - FROM OUTSIDE VEHICLE,2,"REPORTED, NOT EVIDENT",1,0,5,7,3,32,15,4,10
RAILROAD CROSSING GATE,CLEAR,UNKNOWN,REAR TO FRONT,OTHER,STRAIGHT ON GRADE,MUD,RUT,INJURY AND / OR TOW DUE TO CRASH,Y,$500 OR LESS,MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT,6,INCAPACITATING INJURY,0,3,3,21,9,39,5,7,4
OTHER REG. SIGN,DIRT,UNKNOWN,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),CURVE ON HILLCREST,UNKNOWN,OTHER,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500","EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",7,NO INDICATION OF INJURY,14,1,1,1,8,11,15,3,1
SCHOOL ZONE,CLOUDY/OVERCAST,UNKNOWN,REAR TO FRONT,Y-INTERSECTION,CURVE ON HILLCREST,SNOW OR SLUSH,HOLES,INJURY AND / OR TOW DUE TO CRASH,N,"OVER $1,500",NOT APPLICABLE,10,NO INDICATION OF INJURY,10,2,7,14,0,32,12,7,8
